cohort_date,source,medium,campaign,discounts,income,costs_rub,ltv
2019-09-01,google,cpc,rus_search_competitors-new,0E-16,1163.8533900000000000,1103.69,60.1633900000000000
2019-09-01,google,cpc,rus_search_gen-flow-discount-10-night,325.7854670000000000,5169.5656600000000000,3916.72,927.0601930000000000
2019-09-01,google,cpc,rus_search_gen-vlozhenye-zaprosy-discount-10,209.4001280000000000,2094.0012800000000000,1136.09,748.5111520000000000
2019-09-01,google,cpc,rus_search_gen-vlozhenye-zaprosy-discount-10-night,167.8005490000000000,2608.1533800000000000,1070.44,1369.9128310000000000
2019-09-01,google,cpc,ukr_search_competitors-new,0E-16,930.1478900000000000,88.21,841.9378900000000000
2019-09-02,google,cpc,rus_search_gen-flow-discount-10-night,1589.1772974000000000,16782.3638430000000000,4087.02,11106.1665456000000000
2019-09-02,google,cpc,rus_search_gen-vlozhenye-zaprosy-discount-10-night,936.4878278000000000,9364.8782780000000000,4599.12,3829.2704502000000000
2019-09-03,google,cpc,rus_search_gen-flow-discount-10-night,845.1676800000000000,10864.8565760000000000,4683.61,5336.0788960000000000
2019-09-03,google,cpc,rus_search_gen-vlozhenye-zaprosy-discount-10-night,93.0245400000000000,1860.4908000000000000,4153.4,-2385.9337400000000000
2019-09-04,google,cpc,rus_search_competitors-new,115.4130936000000000,1154.1309360000000000,1063.08,-24.3621576000000000
2019-09-04,google,cpc,rus_search_gen-flow-discount-10-night,471.3860088000000000,12097.5170400000000000,3171.45,8454.6810312000000000
2019-09-04,google,cpc,rus_search_gen-vlozhenye-zaprosy-discount-10,92.2377736000000000,922.3777360000000000,1525.26,-695.1200376000000000
2019-09-04,google,cpc,rus_search_gen-vlozhenye-zaprosy-discount-10-night,378.6847288000000000,3786.8472880000000000,6207.36,-2799.1974408000000000
2019-09-05,google,cpc,rus_search_gen-flow-discount-10-night,494.5456439000000000,4945.4564390000000000,2515.77,1935.1407951000000000
2019-09-05,google,cpc,rus_search_gen-vlozhenye-zaprosy-discount-10,115.4094333000000000,3972.1238690000000000,2444.63,1412.0844357000000000
2019-09-05,google,cpc,rus_search_gen-vlozhenye-zaprosy-discount-10-night,760.7007821000000000,8529.3563040000000000,6154.28,1614.3755219000000000
2019-09-06,google,cpc,rus_search_competitors-new,0E-16,916.4198750000000000,1216.52,-300.1001250000000000
2019-09-06,google,cpc,rus_search_gen-flow-discount-10-night,784.7133000000000000,8763.5528750000000000,2422.85,5555.9895750000000000
2019-09-06,google,cpc,rus_search_gen-vlozhenye-zaprosy-discount-10,188.3496125000000000,1883.4961250000000000,2079.38,-384.2334875000000000
2019-09-06,google,cpc,rus_search_gen-vlozhenye-zaprosy-discount-10-night,371.6335875000000000,6470.2006250000000000,12056.26,-5957.6929625000000000
2019-09-07,google,cpc,rus_search_competitors-new,142.2983625000000000,1422.9836250000000000,778.23,502.4552625000000000
2019-09-07,google,cpc,rus_search_gen-flow-discount-10-night,527.2868125000000000,6695.8517500000000000,1780.18,4388.3849375000000000
2019-09-07,google,cpc,rus_search_gen-vlozhenye-zaprosy-discount-10-night,367.0284625000000000,4586.7045000000000000,7507.92,-3288.2439625000000000
2019-09-08,google,cpc,rus_search_competitors-new,268.9670984000000000,3836.4656330000000000,2165.92,1401.5785346000000000
2019-09-08,google,cpc,rus_search_gen-flow-discount-10-night,669.6543854000000000,7843.3385030000000000,2190.47,4983.2141176000000000
2019-09-08,google,cpc,rus_search_gen-vlozhenye-zaprosy-discount-10,142.3130709000000000,2569.9253580000000000,2734.69,-307.0777129000000000
2019-09-08,google,cpc,rus_search_gen-vlozhenye-zaprosy-discount-10-night,564.1861225000000000,6553.4863940000000000,7361.94,-1372.6397285000000000
2019-09-09,google,cpc,rus_search_gen-flow-discount-10-night,571.7035506000000000,11103.0811710000000000,2183.93,8347.4476204000000000
2019-09-09,google,cpc,rus_search_gen-vlozhenye-zaprosy-discount-10,164.7203649000000000,3294.4072980000000000,2861.35,268.3369331000000000
2019-09-10,google,cpc,rus_search_gen-flow-discount-10-night,433.3655326000000000,6385.9572140000000000,3084.83,2867.7616814000000000
2019-09-11,google,cpc,rus_search_competitors-new,248.4097028000000000,3847.7981430000000000,2177.16,1422.2284402000000000
2019-09-11,google,cpc,rus_search_gen-flow-discount-10-night,924.1817354000000000,14768.6041790000000000,3779.23,10065.1924436000000000
2019-09-12,google,cpc,rus_search_competitors-new,139.8610941000000000,2663.4440490000000000,2275.8,247.7829549000000000
2019-09-12,google,cpc,rus_search_gen-flow-discount-10-night,140.0836668000000000,7770.3367280000000000,3868.54,3761.7130612000000000
2019-09-13,google,cpc,rus_search_gen-flow-discount-10-night,341.8915500000000000,13725.2115000000000000,3151.77,10231.5499500000000000
2019-09-14,google,cpc,rus_search_gen-flow-discount-10-night,0E-16,4644.1395000000000000,1922.15,2721.9895000000000000
2019-09-15,google,cpc,rus_search_competitors-new,0E-16,890.5908690000000000,1198.61,-308.0191310000000000
2019-09-15,google,cpc,rus_search_gen-flow-discount-10-night,0E-16,7621.4886930000000000,3187.52,4433.9686930000000000
2019-09-16,google,cpc,rus_search_competitors-new,0E-16,891.4573150000000000,1437.7,-546.2426850000000000
2019-09-16,google,cpc,rus_search_competitors-new-night,0E-16,891.4573150000000000,224.3,667.1573150000000000
